*******************************************************************************************************************
* This Online Resource contains electronic supplemental material (ESM) accompanying the following article submitted to the
* International Journal of Biometeorology - Special Issue (UTCI):
*
* Deriving the Operational Procedure for the Universal Thermal Climate Index UTCI
* by
* Peter Bröde, Dusan Fiala, Krzysztof Blazejczyk, Ingvar Holmér, Gerd Jendritzky, Bernhard Kampmann, Birger Tinz, George Havenith
*
* Corresponding author:
* Peter Bröde
* Leibniz Research Centre for Working Environment and Human Factors (IfADo)
* Ardeystr. 67, 44139 Dortmund, Germany
* Phone +49 231 1084 225
* Fax +49 231 1084 400
* e-mail: broede@ifado.de 
*
* ESM 4: This TAB-delimited file tabulates values of the Offset (= UTCI - Ta) in °C for different input values of:
*    Ta:	air temperature in°C (range: -50 °C to +50 °C)
*    Tr-Ta:	difference between mean radiant temperature (Tr) and air temperature in °C (-30 °C to +70 °C)
*    va:	wind speed in m/s measured 10 m above ground level (0.5 m/s to 30.3 m/s)
*    rH:	relative humidity in % (5% to 100%)
*    pa:	water vapour pressure in kPa (0 kPa to 5 kPa)
*******************************************************************************************************************
Ta	Tr-Ta	va	rH	pa	Offset
-50	-25	0.8	100	0.01	-2.86
-50	-25	1.2	5	0.00	-3.94
-50	-25	1.2	50	0.00	-3.94
-50	-25	1.2	100	0.01	-3.94
-50	-25	1.8	5	0.00	-6.30
-50	-25	1.8	50	0.00	-6.30
-50	-25	1.8	100	0.01	-6.30
-50	-25	2.7	5	0.00	-10.38
-50	-25	2.7	50	0.00	-10.38
-50	-25	2.7	100	0.01	-10.38
-50	-25	4.0	5	0.00	-15.97
-50	-25	4.0	50	0.00	-15.97
-50	-25	4.0	100	0.01	-15.97
-50	-25	6.0	5	0.00	-21.98
-50	-25	6.0	50	0.00	-21.98
-50	-25	6.0	100	0.01	-21.98
-50	-25	9.0	5	0.00	-29.50
-50	-25	9.0	50	0.00	-29.50
-50	-25	9.0	100	0.01	-29.50
-50	-25	13.5	5	0.00	-39.17
-50	-25	13.5	50	0.00	-39.17
-50	-25	13.5	100	0.01	-39.17
-50	-25	20.2	5	0.00	-52.28
-50	-25	20.2	50	0.00	-52.28
-50	-25	20.2	100	0.01	-52.28
-50	-25	30.3	5	0.00	-61.73
-50	-25	30.3	50	0.00	-61.73
-50	-25	30.3	100	0.01	-61.73
-50	-20	0.5	5	0.00	-1.79
-50	-20	0.5	50	0.00	-1.79
-50	-20	0.5	100	0.01	-1.79
-50	-20	0.8	5	0.00	-2.22
-50	-20	0.8	50	0.00	-2.22
-50	-20	0.8	100	0.01	-2.22
-50	-20	1.2	5	0.00	-3.51
-50	-20	1.2	50	0.00	-3.51
-50	-20	1.2	100	0.01	-3.51
-50	-20	1.8	5	0.00	-5.87
-50	-20	1.8	50	0.00	-5.65
-50	-20	1.8	100	0.01	-5.65
-50	-20	2.7	5	0.00	-9.95
-50	-20	2.7	50	0.00	-9.95
-50	-20	2.7	100	0.01	-9.95
-50	-20	4.0	5	0.00	-15.32
-50	-20	4.0	50	0.00	-15.32
-50	-20	4.0	100	0.01	-15.32
-50	-20	6.0	5	0.00	-21.77
-50	-20	6.0	50	0.00	-21.77
-50	-20	6.0	100	0.01	-21.77
-50	-20	9.0	5	0.00	-29.50
-50	-20	9.0	50	0.00	-29.50
-50	-20	9.0	100	0.01	-29.50
-50	-20	13.5	5	0.00	-39.17
-50	-20	13.5	50	0.00	-39.17
-50	-20	13.5	100	0.01	-39.17
-50	-20	20.2	5	0.00	-52.28
-50	-20	20.2	50	0.00	-52.28
-50	-20	20.2	100	0.01	-52.28
-50	-20	30.3	5	0.00	-61.51
-50	-20	30.3	50	0.00	-61.51
-50	-20	30.3	100	0.01	-61.51
-50	-15	0.5	5	0.00	-1.79
-50	-15	0.5	50	0.00	-1.79
-50	-15	0.5	100	0.01	-1.79
-50	-15	0.8	5	0.00	-1.79
-50	-15	0.8	50	0.00	-1.79
-50	-15	0.8	100	0.01	-1.79
-50	-15	1.2	5	0.00	-2.86
-50	-15	1.2	50	0.00	-2.86
-50	-15	1.2	100	0.01	-2.86
-50	-15	1.8	5	0.00	-5.22
-50	-15	1.8	50	0.00	-5.22
-50	-15	1.8	100	0.01	-5.22
-50	-15	2.7	5	0.00	-9.52
-50	-15	2.7	50	0.00	-9.52
-50	-15	2.7	100	0.01	-9.52
-50	-15	4.0	5	0.00	-15.11
-50	-15	4.0	50	0.00	-14.89
-50	-15	4.0	100	0.01	-14.89
-50	-15	6.0	5	0.00	-21.34
-50	-15	6.0	50	0.00	-21.34
-50	-15	6.0	100	0.01	-21.34
-50	-15	9.0	5	0.00	-29.29
-50	-15	9.0	50	0.00	-29.29
-50	-15	9.0	100	0.01	-29.29
-50	-15	13.5	5	0.00	-38.74
-50	-15	13.5	50	0.00	-38.74
-50	-15	13.5	100	0.01	-38.74
-50	-15	20.2	5	0.00	-51.85
-50	-15	20.2	50	0.00	-51.85
-50	-15	20.2	100	0.01	-51.85
-50	-15	30.3	5	0.00	-61.30
-50	-15	30.3	50	0.00	-61.30
-50	-15	30.3	100	0.01	-61.30
-50	-10	0.5	5	0.00	-0.93
-50	-10	0.5	50	0.00	-0.93
-50	-10	0.5	100	0.01	-0.93
-50	-10	0.8	5	0.00	-1.36
-50	-10	0.8	50	0.00	-1.36
-50	-10	0.8	100	0.01	-1.36
-50	-10	1.2	5	0.00	-2.43
-50	-10	1.2	50	0.00	-2.43
-50	-10	1.2	100	0.01	-2.43
-50	-10	1.8	5	0.00	-4.79
-50	-10	1.8	50	0.00	-4.79
-50	-10	1.8	100	0.01	-4.79
-50	-10	2.7	5	0.00	-9.09
-50	-10	2.7	50	0.00	-9.09
-50	-10	2.7	100	0.01	-9.09
-50	-10	4.0	5	0.00	-14.68
-50	-10	4.0	50	0.00	-14.68
-50	-10	4.0	100	0.01	-14.68
-50	-10	6.0	5	0.00	-20.91
-50	-10	6.0	50	0.00	-20.91
-50	-10	6.0	100	0.01	-20.91
-50	-10	9.0	5	0.00	-28.64
-50	-10	9.0	50	0.00	-28.64
-50	-10	9.0	100	0.01	-28.64
-50	-10	13.5	5	0.00	-38.53
-50	-10	13.5	50	0.00	-38.53
-50	-10	13.5	100	0.01	-38.53
-50	-10	20.2	5	0.00	-51.63
-50	-10	20.2	50	0.00	-51.63
-50	-10	20.2	100	0.01	-51.63
-50	-10	30.3	5	0.00	-61.30
-50	-10	30.3	50	0.00	-61.30
-50	-10	30.3	100	0.01	-61.30
-50	-5	0.5	5	0.00	-0.50
-50	-5	0.5	50	0.00	-0.50
-50	-5	0.5	100	0.01	-0.50
-50	-5	0.8	5	0.00	-0.93
-50	-5	0.8	50	0.00	-0.93
-50	-5	0.8	100	0.01	-0.93
-50	-5	1.2	5	0.00	-1.79
-50	-5	1.2	50	0.00	-1.79
-50	-5	1.2	100	0.01	-1.79
-50	-5	1.8	5	0.00	-4.37
-50	-5	1.8	50	0.00	-4.37
-50	-5	1.8	100	0.01	-4.15
-50	-5	2.7	5	0.00	-8.66
-50	-5	2.7	50	0.00	-8.66
-50	-5	2.7	100	0.01	-8.66
-50	-5	4.0	5	0.00	-13.82
-50	-5	4.0	50	0.00	-13.82
-50	-5	4.0	100	0.01	-13.82
-50	-5	6.0	5	0.00	-20.69
-50	-5	6.0	50	0.00	-20.69
-50	-5	6.0	100	0.01	-20.69
-50	-5	9.0	5	0.00	-28.43
-50	-5	9.0	50	0.00	-28.43
-50	-5	9.0	100	0.01	-28.43
-50	-5	13.5	5	0.00	-38.31
-50	-5	13.5	50	0.00	-38.31
-50	-5	13.5	100	0.01	-38.31
-50	-5	20.2	5	0.00	-51.20
-50	-5	20.2	50	0.00	-51.20
-50	-5	20.2	100	0.01	-51.20
-50	-5	30.3	5	0.00	-61.30
-50	-5	30.3	50	0.00	-61.30
-50	-5	30.3	100	0.01	-61.30
-50	0	0.5	5	0.00	-0.07
-50	0	0.5	50	0.00	-0.07
-50	0	0.5	100	0.01	0.15
-50	0	0.8	5	0.00	-0.50
-50	0	0.8	50	0.00	-0.50
-50	0	0.8	100	0.01	-0.50
-50	0	1.2	5	0.00	-1.36
-50	0	1.2	50	0.00	-1.36
-50	0	1.2	100	0.01	-1.36
-50	0	1.8	5	0.00	-3.72
-50	0	1.8	50	0.00	-3.72
-50	0	1.8	100	0.01	-3.72
-50	0	2.7	5	0.00	-8.23
-50	0	2.7	50	0.00	-8.23
-50	0	2.7	100	0.01	-8.23
-50	0	4.0	5	0.00	-13.60
-50	0	4.0	50	0.00	-13.60
-50	0	4.0	100	0.01	-13.60
-50	0	6.0	5	0.00	-20.48
-50	0	6.0	50	0.00	-20.48
-50	0	6.0	100	0.01	-20.48
-50	0	9.0	5	0.00	-27.78
-50	0	9.0	50	0.00	-27.78
-50	0	9.0	100	0.01	-27.78
-50	0	13.5	5	0.00	-38.10
-50	0	13.5	50	0.00	-38.10
-50	0	13.5	100	0.01	-38.10
-50	0	20.2	5	0.00	-51.20
-50	0	20.2	50	0.00	-51.20
-50	0	20.2	100	0.01	-51.20
-50	0	30.3	5	0.00	-61.08
-50	0	30.3	50	0.00	-61.08
-50	0	30.3	100	0.01	-61.08
-50	5	0.5	5	0.00	0.79
-50	5	0.5	50	0.00	0.79
-50	5	0.5	100	0.01	0.79
-50	5	0.8	5	0.00	0.36
-50	5	0.8	50	0.00	0.36
-50	5	0.8	100	0.01	0.36
-50	5	1.2	5	0.00	-0.50
-50	5	1.2	50	0.00	-0.50
-50	5	1.2	100	0.01	-0.50
-50	5	1.8	5	0.00	-3.08
-50	5	1.8	50	0.00	-3.08
-50	5	1.8	100	0.01	-3.08
-50	5	2.7	5	0.00	-7.59
-50	5	2.7	50	0.00	-7.59
-50	5	2.7	100	0.01	-7.59
-50	5	4.0	5	0.00	-12.96
-50	5	4.0	50	0.00	-12.96
-50	5	4.0	100	0.01	-12.96
-50	5	6.0	5	0.00	-19.83
-50	5	6.0	50	0.00	-19.83
-50	5	6.0	100	0.01	-19.83
-50	5	9.0	5	0.00	-27.57
-50	5	9.0	50	0.00	-27.57
-50	5	9.0	100	0.01	-27.57
-50	5	13.5	5	0.00	-37.88
-50	5	13.5	50	0.00	-37.88
-50	5	13.5	100	0.01	-37.88
-50	5	20.2	5	0.00	-50.77
-50	5	20.2	50	0.00	-50.77
-50	5	20.2	100	0.01	-50.77
-50	5	30.3	5	0.00	-61.08
-50	5	30.3	50	0.00	-60.87
-50	5	30.3	100	0.01	-60.87
-50	10	0.5	5	0.00	1.44
-50	10	0.5	50	0.00	1.44
-50	10	0.5	100	0.01	1.44
-50	10	0.8	5	0.00	1.01
-50	10	0.8	50	0.00	1.01
-50	10	0.8	100	0.01	1.01
-50	10	1.2	5	0.00	-0.07
-50	10	1.2	50	0.00	-0.07
-50	10	1.2	100	0.01	-0.07
-50	10	1.8	5	0.00	-2.43
-50	10	1.8	50	0.00	-2.43
-50	10	1.8	100	0.01	-2.43
-50	10	2.7	5	0.00	-7.16
-50	10	2.7	50	0.00	-7.16
-50	10	2.7	100	0.01	-7.16
-50	10	4.0	5	0.00	-12.74
-50	10	4.0	50	0.00	-12.74
-50	10	4.0	100	0.01	-12.74
-50	10	6.0	5	0.00	-19.62
-50	10	6.0	50	0.00	-19.62
-50	10	6.0	100	0.01	-19.62
-50	10	9.0	5	0.00	-26.92
-50	10	9.0	50	0.00	-26.92
-50	10	9.0	100	0.01	-26.92
-50	10	13.5	5	0.00	-37.45
-50	10	13.5	50	0.00	-37.45
-50	10	13.5	100	0.01	-37.45
-50	10	20.2	5	0.00	-50.34
-50	10	20.2	50	0.00	-50.34
-50	10	20.2	100	0.01	-50.34
-50	10	30.3	5	0.00	-60.87
-50	10	30.3	50	0.00	-60.87
-50	10	30.3	100	0.01	-60.87
-50	15	0.5	5	0.00	2.29
-50	15	0.5	50	0.00	2.29
-50	15	0.5	100	0.01	2.29
-50	15	0.8	5	0.00	1.87
-50	15	0.8	50	0.00	1.87
-50	15	0.8	100	0.01	1.87
-50	15	1.2	5	0.00	0.79
-50	15	1.2	50	0.00	0.79
-50	15	1.2	100	0.01	1.01
-50	15	1.8	5	0.00	-1.79
-50	15	1.8	50	0.00	-1.79
-50	15	1.8	100	0.01	-1.79
-50	15	2.7	5	0.00	-6.30
-50	15	2.7	50	0.00	-6.30
-50	15	2.7	100	0.01	-6.30
-50	15	4.0	5	0.00	-12.10
-50	15	4.0	50	0.00	-12.10
-50	15	4.0	100	0.01	-12.10
-50	15	6.0	5	0.00	-18.33
-50	15	6.0	50	0.00	-18.33
-50	15	6.0	100	0.01	-18.33
-50	15	9.0	5	0.00	-26.49
-50	15	9.0	50	0.00	-26.49
-50	15	9.0	100	0.01	-26.49
-50	15	13.5	5	0.00	-37.02
-50	15	13.5	50	0.00	-37.02
-50	15	13.5	100	0.01	-37.02
-50	15	20.2	5	0.00	-50.13
-50	15	20.2	50	0.00	-50.13
-50	15	20.2	100	0.01	-50.13
-50	15	30.3	5	0.00	-60.65
-50	15	30.3	50	0.00	-60.65
-50	15	30.3	100	0.01	-60.65
-50	20	0.5	5	0.00	2.72
-50	20	0.5	50	0.00	2.72
-50	20	0.5	100	0.01	2.72
-50	20	0.8	5	0.00	2.29
-50	20	0.8	50	0.00	2.51
-50	20	0.8	100	0.01	2.51
-50	20	1.2	5	0.00	1.44
-50	20	1.2	50	0.00	1.44
-50	20	1.2	100	0.01	1.44
-50	20	1.8	5	0.00	-1.14
-50	20	1.8	50	0.00	-1.14
-50	20	1.8	100	0.01	-1.14
-50	20	2.7	5	0.00	-5.87
-50	20	2.7	50	0.00	-5.87
-50	20	2.7	100	0.01	-5.87
-50	20	4.0	5	0.00	-11.46
-50	20	4.0	50	0.00	-11.46
-50	20	4.0	100	0.01	-11.46
-50	20	6.0	5	0.00	-18.33
-50	20	6.0	50	0.00	-18.33
-50	20	6.0	100	0.01	-18.33
-50	20	9.0	5	0.00	-26.28
-50	20	9.0	50	0.00	-26.28
-50	20	9.0	100	0.01	-26.28
-50	20	13.5	5	0.00	-36.59
-50	20	13.5	50	0.00	-36.59
-50	20	13.5	100	0.01	-36.59
-50	20	20.2	5	0.00	-49.70
-50	20	20.2	50	0.00	-49.70
-50	20	20.2	100	0.01	-49.70
-50	20	30.3	5	0.00	-60.44
-50	20	30.3	50	0.00	-60.44
-50	20	30.3	100	0.01	-60.44
-50	25	0.5	5	0.00	3.80
-50	25	0.5	50	0.00	3.80
-50	25	0.5	100	0.01	3.80
-50	25	0.8	5	0.00	3.37
-50	25	0.8	50	0.00	3.37
-50	25	0.8	100	0.01	3.37
-50	25	1.2	5	0.00	2.29
-50	25	1.2	50	0.00	2.29
-50	25	1.2	100	0.01	2.29
-50	25	1.8	5	0.00	-0.50
-50	25	1.8	50	0.00	-0.50
-50	25	1.8	100	0.01	-0.50
-50	25	2.7	5	0.00	-5.22
-50	25	2.7	50	0.00	-5.22
-50	25	2.7	100	0.01	-5.22
-50	25	4.0	5	0.00	-10.60
-50	25	4.0	50	0.00	-10.60
-50	25	4.0	100	0.01	-10.60
-50	25	6.0	5	0.00	-17.69
-50	25	6.0	50	0.00	-17.69
-50	25	6.0	100	0.01	-17.69
-50	25	9.0	5	0.00	-25.85
-50	25	9.0	50	0.00	-25.85
-50	25	9.0	100	0.01	-25.85
-50	25	13.5	5	0.00	-36.16
-50	25	13.5	50	0.00	-36.16
-50	25	13.5	100	0.01	-36.16
-50	25	20.2	5	0.00	-49.27
-50	25	20.2	50	0.00	-49.27
-50	25	20.2	100	0.01	-49.27
-50	25	30.3	5	0.00	-60.22
-50	25	30.3	50	0.00	-60.22
-50	25	30.3	100	0.01	-60.22
-50	30	0.5	5	0.00	4.44
-50	30	0.5	50	0.00	4.44
-50	30	0.5	100	0.01	4.44
-50	30	0.8	5	0.00	4.23
-50	30	0.8	50	0.00	4.23
-50	30	0.8	100	0.01	4.23
-50	30	1.2	5	0.00	2.94
-50	30	1.2	50	0.00	2.94
-50	30	1.2	100	0.01	2.94
-50	30	1.8	5	0.00	0.58
-50	30	1.8	50	0.00	0.58
-50	30	1.8	100	0.01	0.58
-50	30	2.7	5	0.00	-4.37
-50	30	2.7	50	0.00	-4.37
-50	30	2.7	100	0.01	-4.37
-50	30	4.0	5	0.00	-9.95
-50	30	4.0	50	0.00	-9.95
-50	30	4.0	100	0.01	-9.95
-50	30	6.0	5	0.00	-17.26
-50	30	6.0	50	0.00	-17.26
-50	30	6.0	100	0.01	-17.04
-50	30	9.0	5	0.00	-25.21
-50	30	9.0	50	0.00	-25.21
-50	30	9.0	100	0.01	-25.21
-50	30	13.5	5	0.00	-35.73
-50	30	13.5	50	0.00	-35.73
-50	30	13.5	100	0.01	-35.73
-50	30	20.2	5	0.00	-48.84
-50	30	20.2	50	0.00	-48.84
-50	30	20.2	100	0.01	-48.84
-50	30	30.3	5	0.00	-60.01
-50	30	30.3	50	0.00	-60.01
-50	30	30.3	100	0.01	-60.01
-50	35	0.5	5	0.00	5.52
-50	35	0.5	50	0.00	5.52
-50	35	0.5	100	0.01	5.52
-50	35	0.8	5	0.00	5.09
-50	35	0.8	50	0.00	5.09
-50	35	0.8	100	0.01	5.09
-50	35	1.2	5	0.00	4.01
-50	35	1.2	50	0.00	4.01
-50	35	1.2	100	0.01	4.01
-50	35	1.8	5	0.00	1.22
-50	35	1.8	50	0.00	1.22
-50	35	1.8	100	0.01	1.22
-50	35	2.7	5	0.00	-3.51
-50	35	2.7	50	0.00	-3.51
-50	35	2.7	100	0.01	-3.51
-50	35	4.0	5	0.00	-9.31
-50	35	4.0	50	0.00	-9.31
-50	35	4.0	100	0.01	-9.31
-50	35	6.0	5	0.00	-16.40
-50	35	6.0	50	0.00	-16.40
-50	35	6.0	100	0.01	-16.40
-50	35	9.0	5	0.00	-24.35
-50	35	9.0	50	0.00	-24.35
-50	35	9.0	100	0.01	-24.35
-50	35	13.5	5	0.00	-35.30
-50	35	13.5	50	0.00	-35.30
-50	35	13.5	100	0.01	-35.30
-50	35	20.2	5	0.00	-48.62
-50	35	20.2	50	0.00	-48.62
-50	35	20.2	100	0.01	-48.41
-50	35	30.3	5	0.00	-59.79
-50	35	30.3	50	0.00	-59.79
-50	35	30.3	100	0.01	-59.79
-50	40	0.5	5	0.00	6.38
-50	40	0.5	50	0.00	6.38
-50	40	0.5	100	0.01	6.38
-50	40	0.8	5	0.00	5.95
-50	40	0.8	50	0.00	5.95
-50	40	0.8	100	0.01	5.95
-50	40	1.2	5	0.00	4.87
-50	40	1.2	50	0.00	4.87
-50	40	1.2	100	0.01	4.87
-50	40	1.8	5	0.00	2.29
-50	40	1.8	50	0.00	2.29
-50	40	1.8	100	0.01	2.29
-50	40	2.7	5	0.00	-2.86
-50	40	2.7	50	0.00	-2.86
-50	40	2.7	100	0.01	-2.86
-50	40	4.0	5	0.00	-8.88
-50	40	4.0	50	0.00	-8.88
-50	40	4.0	100	0.01	-8.88
-50	40	6.0	5	0.00	-15.75
-50	40	6.0	50	0.00	-15.75
-50	40	6.0	100	0.01	-15.75
-50	40	9.0	5	0.00	-23.70
-50	40	9.0	50	0.00	-23.70
-50	40	9.0	100	0.01	-23.70
-50	40	13.5	5	0.00	-34.87
-50	40	13.5	50	0.00	-34.87
-50	40	13.5	100	0.01	-34.87
-50	40	20.2	5	0.00	-47.76
-50	40	20.2	50	0.00	-47.76
-50	40	20.2	100	0.01	-47.76
-50	40	30.3	5	0.00	-59.58
-50	40	30.3	50	0.00	-59.58
-50	40	30.3	100	0.01	-59.58
-50	45	0.5	5	0.00	7.45
-50	45	0.5	50	0.00	7.45
-50	45	0.5	100	0.01	7.45
-50	45	0.8	5	0.00	7.02
-50	45	0.8	50	0.00	7.02
-50	45	0.8	100	0.01	7.02
-50	45	1.2	5	0.00	5.73
-50	45	1.2	50	0.00	5.73
-50	45	1.2	100	0.01	5.73
-50	45	1.8	5	0.00	2.94
-50	45	1.8	50	0.00	2.94
-50	45	1.8	100	0.01	2.94
-50	45	2.7	5	0.00	-1.79
-50	45	2.7	50	0.00	-1.79
-50	45	2.7	100	0.01	-1.79
-50	45	4.0	5	0.00	-7.80
-50	45	4.0	50	0.00	-7.80
-50	45	4.0	100	0.01	-7.80
-50	45	6.0	5	0.00	-15.11
-50	45	6.0	50	0.00	-15.11
-50	45	6.0	100	0.01	-15.11
-50	45	9.0	5	0.00	-23.27
-50	45	9.0	50	0.00	-23.27
-50	45	9.0	100	0.01	-23.27
-50	45	13.5	5	0.00	-34.44
-50	45	13.5	50	0.00	-34.44
-50	45	13.5	100	0.01	-34.44
-50	45	20.2	5	0.00	-47.12
-50	45	20.2	50	0.00	-47.12
-50	45	20.2	100	0.01	-47.12
-50	45	30.3	5	0.00	-59.15
-50	45	30.3	50	0.00	-59.15
-50	45	30.3	100	0.01	-59.15
-50	50	0.5	5	0.00	8.31
-50	50	0.5	50	0.00	8.31
-50	50	0.5	100	0.01	8.31
-50	50	0.8	5	0.00	8.10
-50	50	0.8	50	0.00	8.10
-50	50	0.8	100	0.01	8.10
-50	50	1.2	5	0.00	6.81
-50	50	1.2	50	0.00	6.81
-50	50	1.2	100	0.01	6.81
-50	50	1.8	5	0.00	4.23
-50	50	1.8	50	0.00	4.23
-50	50	1.8	100	0.01	4.23
-50	50	2.7	5	0.00	-0.50
-50	50	2.7	50	0.00	-0.50
-50	50	2.7	100	0.01	-0.50
-50	50	4.0	5	0.00	-6.73
-50	50	4.0	50	0.00	-6.73
-50	50	4.0	100	0.01	-6.73
-50	50	6.0	5	0.00	-14.25
-50	50	6.0	50	0.00	-14.25
-50	50	6.0	100	0.01	-14.25
-50	50	9.0	5	0.00	-22.63
-50	50	9.0	50	0.00	-22.63
-50	50	9.0	100	0.01	-22.63
-50	50	13.5	5	0.00	-33.80
-50	50	13.5	50	0.00	-33.80
-50	50	13.5	100	0.01	-33.80
-50	50	20.2	5	0.00	-46.69
-50	50	20.2	50	0.00	-46.69
-50	50	20.2	100	0.01	-46.69
-50	50	30.3	5	0.00	-58.72
-50	50	30.3	50	0.00	-58.72
-50	50	30.3	100	0.01	-58.72
-50	55	0.5	5	0.00	9.81
-50	55	0.5	50	0.00	9.81
-50	55	0.5	100	0.01	9.81
-50	55	0.8	5	0.00	9.38
-50	55	0.8	50	0.00	9.38
-50	55	0.8	100	0.01	9.38
-50	55	1.2	5	0.00	8.10
-50	55	1.2	50	0.00	8.10
-50	55	1.2	100	0.01	8.10
-50	55	1.8	5	0.00	5.30
-50	55	1.8	50	0.00	5.30
-50	55	1.8	100	0.01	5.30
-50	55	2.7	5	0.00	0.15
-50	55	2.7	50	0.00	0.15
-50	55	2.7	100	0.01	0.15
-50	55	4.0	5	0.00	-5.87
-50	55	4.0	50	0.00	-5.87
-50	55	4.0	100	0.01	-5.87
-50	55	6.0	5	0.00	-13.39
-50	55	6.0	50	0.00	-13.39
-50	55	6.0	100	0.01	-13.39
-50	55	9.0	5	0.00	-22.20
-50	55	9.0	50	0.00	-22.20
-50	55	9.0	100	0.01	-22.20
-50	55	13.5	5	0.00	-33.15
-50	55	13.5	50	0.00	-33.15
-50	55	13.5	100	0.01	-33.15
-50	55	20.2	5	0.00	-45.83
-50	55	20.2	50	0.00	-45.83
-50	55	20.2	100	0.01	-45.83
-50	55	30.3	5	0.00	-58.29
-50	55	30.3	50	0.00	-58.29
-50	55	30.3	100	0.01	-58.29
-50	60	0.5	5	0.00	11.10
-50	60	0.5	50	0.00	11.10
-50	60	0.5	100	0.01	11.10
-50	60	0.8	5	0.00	10.46
-50	60	0.8	50	0.00	10.46
-50	60	0.8	100	0.01	10.46
-50	60	1.2	5	0.00	9.17
-50	60	1.2	50	0.00	9.17
-50	60	1.2	100	0.01	9.17
-50	60	1.8	5	0.00	6.38
-50	60	1.8	50	0.00	6.38
-50	60	1.8	100	0.01	6.38
-50	60	2.7	5	0.00	1.01
-50	60	2.7	50	0.00	1.01
-50	60	2.7	100	0.01	1.01
-50	60	4.0	5	0.00	-5.22
-50	60	4.0	50	0.00	-5.22
-50	60	4.0	100	0.01	-5.22
-50	60	6.0	5	0.00	-12.31
-50	60	6.0	50	0.00	-12.31
-50	60	6.0	100	0.01	-12.31
-50	60	9.0	5	0.00	-20.91
-50	60	9.0	50	0.00	-20.91
-50	60	9.0	100	0.01	-20.91
-50	60	13.5	5	0.00	-32.51
-50	60	13.5	50	0.00	-32.51
-50	60	13.5	100	0.01	-32.51
-50	60	20.2	5	0.00	-45.40
-50	60	20.2	50	0.00	-45.40
-50	60	20.2	100	0.01	-45.40
-50	60	30.3	5	0.00	-57.65
-50	60	30.3	50	0.00	-57.65
-50	60	30.3	100	0.01	-57.65
-50	65	0.5	5	0.00	12.39
-50	65	0.5	50	0.00	12.39
-50	65	0.5	100	0.01	12.39
-50	65	0.8	5	0.00	11.75
-50	65	0.8	50	0.00	11.75
-50	65	0.8	100	0.01	11.75
-50	65	1.2	5	0.00	10.46
-50	65	1.2	50	0.00	10.46
-50	65	1.2	100	0.01	10.46
-50	65	1.8	5	0.00	7.45
-50	65	1.8	50	0.00	7.45
-50	65	1.8	100	0.01	7.67
-50	65	2.7	5	0.00	2.29
